Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr6 31239755 31239868 HLA-C_Exon1_NM_002117.6 1780.18 1080.38 699.8 39.310632
chr13 32940978 32941301 BRCA2_Intron18_NM_000059.3 1623.32 985.76 637.56 39.275066
chr12 498072 498277 KDM5A_Exon1_NM_001042603.3 1182.56 719.62 462.94 39.147274
chr11 108161548 108161574 ATM_Intron29_NM_000051.3 361.34 220.20 141.14 39.060165
chr10 105885506 105885560 SFR1_Exon4_NM_145247.4 491.54 299.74 191.8 39.020222
chr13 72440646 72440927 DACH1_Exon1_NM_080760.5 821.16 500.88 320.28 39.003361
chr2 103378562 103378617 TMEM182_Exon1_NM_144632.5 419.36 256.50 162.86 38.835368
chr17 59911026 59911052 BRIP1_Intron7_NM_032043.3 211.38 131.50 79.88 37.789763
chr17 41219140 41219268 BRCA1_Intron16_NM_007298.3 1152.80 728.25 424.55 36.827724
chr6 31237722 31237882 HLA-C_Exon5_NM_002117.6 1625.44 1033.48 591.96 36.418447
chr17 29559070 29559227 NF1_Exon25_NM_000267.3 1120.12 713.56 406.56 36.296111
chr17 41207956 41208304 BRCA1_Intron19_NM_007298.3 1264.36 808.72 455.64 36.037205
chr22 30051562 30051685 NF2_Exon6_NM_000268.3 1218.40 779.50 438.9 36.022653
chr3 10128797 10128968 FANCD2_Exon34_NM_001018115.2 1035.24 663.50 371.74 35.908582
chr15 99192790 99192924 IGF1R_Exon1_NM_001291858.2 1104.62 709.82 394.8 35.740798
chr11 115047013 115047066 CADM1_Exon12_NM_001301043.2 451.74 293.24 158.5 35.086554
chr11 118353033 118353056 KMT2A_Intron7_NM_001197104.1 966.22 630.18 336.04 34.778829
chr5 86679509 86679617 RASA1_Exon21_NM_002890.3 1399.82 917.96 481.86 34.422997
chr2 215657000 215657189 BARD1_Exon3_NM_000465.4 1433.42 946.24 487.18 33.987247
chr14 68331699 68331876 RAD51B_Exon5_NM_001321819.1 1702.16 1129.98 572.18 33.614936
chr14 68944344 68944401 RAD51B_Exon11_NM_133510.4 1868.52 1246.36 622.16 33.296941
chr8 90955260 90955287 NBN_Intron15_NM_002485.4 657.96 440.12 217.84 33.108396
chr6 29910513 29910823 HLA-A_Exon2_NM_002116.8 1682.10 1127.40 554.7 32.976636
chr13 32916431 32916682 BRCA2_Intron11_NM_000059.3 1586.24 1065.82 520.42 32.808402
chr19 4097256 4097361 MAP2K2_Exon8_NM_030662.3 1193.32 806.88 386.44 32.383602
chr12 101779971 101780025 UTP20_Exon62_NM_014503.3 173.32 117.30 56.02 32.321717
chr18 649860 649914 TYMSOS_Exon2_NM_001012716.3 393.46 267.28 126.18 32.069334
chr12 52345507 52345638 ACVR1B_Exon1_NM_004302.5 463.02 315.68 147.34 31.82152
chr12 14599901 14600007 ATF7IP_Exon6_NM_018179.4 1169.98 798.92 371.06 31.715072
chr5 138213125 138213153 CTNNA1_Intron7_NM_001290307.2 2.72 1.86 0.86 31.617647
chr19 11919177 11919231 ZNF491_Exon3_NM_152356.4 269.84 184.96 84.88 31.455677
chr2 21266715 21266837 APOB_Exon1_NM_000384.3 599.74 412.86 186.88 31.160169
chr11 108156044 108156068 ATM_Intron26_NM_000051.3 253.66 174.92 78.74 31.041552
chr13 32901831 32901921 BRCA2_Intron7_NM_000059.3 1046.42 723.04 323.38 30.903461
chr7 6038614 6038644 PMS2_Intron7_NM_001322005.2 665.20 464.40 200.8 30.18641
chr13 33315197 33315306 PDS5B_Exon22_NM_015032.4 1000.38 698.98 301.4 30.128551
chr17 66453462 66453582 WIPI1_Exon1_NM_017983.7 922.48 646.30 276.18 29.93886
chrX 123184950 123185089 STAG2_Exon12_NM_001042749.2 1098.72 770.10 328.62 29.909349
chr12 432227 432392 KDM5A_Exon16_NM_001042603.3 1000.22 702.86 297.36 29.72946
chr6 29910310 29910423 HLA-A_Exon1_NM_002116.8 1833.26 1289.44 543.82 29.664096
chr13 49039113 49039267 RB1_Exon22_NM_000321.2 1145.00 805.76 339.24 29.627948
chrX 44935921 44936091 KDM6A_Exon16_NM_001291421.1 631.68 444.98 186.7 29.556104
chr20 44470629 44470681 SNX21_Exon4_NM_001042632.3 314.20 223.64 90.56 28.822406
chr7 140624345 140624523 BRAF_Exon1_NM_001354609.2 851.78 607.02 244.76 28.735119
chr15 45848211 45848266 HMGN2P46_Exon6_NR_022014.1 302.46 215.66 86.8 28.69801
chr17 29647370 29647469 EVI2A_Exon2_NM_001003927.3 1596.08 1138.38 457.7 28.676507
chr2 215614501 215614526 BARD1_Intron8_NM_000465.4 449.72 320.76 128.96 28.67562
chr9 135772789 135773017 TSC1_Exon21_NM_000368.5 1765.62 1265.28 500.34 28.337921
chr6 20404025 20404083 E2F3_Exon1_NM_001243076.2 702.92 508.20 194.72 27.701588
chr3 121202212 121202449 POLQ_Exon18_NM_199420.4 1384.78 1007.24 377.54 27.263536
chr2 47641387 47643588 MSH2_Exon6_NM_001258281.1 1134.98 829.50 305.48 26.915012
chr12 7045872 7045958 ATN1_Exon5_NM_001007026.2 971.96 710.54 261.42 26.896169
chr2 215593237 215593303 BARD1_Exon11_NM_000465.4 535.18 393.16 142.02 26.536866
chr4 55598016 55598184 KIT_Exon16_NM_001093772.1 1410.24 1043.46 366.78 26.008339
chr6 29913207 29913252 HLA-A_Exon8_NM_002116.8 1938.60 1445.24 493.36 25.449293
chr2 27009044 27009184 CENPA_Exon1_NM_001042426.1 827.96 617.58 210.38 25.40944
chr4 155225800 155226050 DCHS2_Exon12_NM_001358235.2 1503.36 1122.40 380.96 25.34057
chr10 89640030 89640057 PTEN_Intron1_NM_001304718.2 372.52 278.26 94.26 25.303339
chrX 153906358 153906413 GAB3_Exon10_NM_001081573.3 364.90 273.84 91.06 24.954782
chr9 95237005 95237088 ASPN_Exon2_NM_017680.5 758.34 570.30 188.04 24.796266
chr1 209974564 209974778 IRF6_Exon3_NM_006147.4 829.62 624.28 205.34 24.751091
chr5 98216759 98216895 CHD1_Exon21_NM_001270.2 1566.82 1180.80 386.02 24.637163
chrX 96171416 96171593 DIAPH2_Exon8_NM_007309.3 720.32 543.68 176.64 24.522434
chr6 90432655 90432702 MDN1_Exon40_NM_014611.3 364.52 275.56 88.96 24.404697
chr17 41263139 41263252 BRCA1_Intron3_NM_007298.3 1026.86 777.54 249.32 24.279843
chr15 89856114 89856223 FANCI_Exon35_NM_001113378.1 1417.66 1073.88 343.78 24.24982
chr1 241663716 241663910 FH_Exon9_NM_000143.3 1309.94 994.92 315.02 24.04843
chrX 53655423 53655591 HUWE1_Exon15_NM_031407.7 1402.52 1065.70 336.82 24.015344
chr20 58497462 58497516 SYCP2_Exon3_NM_014258.4 256.80 195.84 60.96 23.738318
chr2 225422355 225422593 CUL3_Exon2_NM_003590.5 1173.06 896.12 276.94 23.608341
chr11 32452055 32452105 WT1_Exon1_NM_001198552.2 1115.02 853.18 261.84 23.482987
chr13 32923385 32923710 BRCA2_Intron13_NM_000059.3 1805.30 1382.62 422.68 23.413283
chr6 44233399 44233440 NFKBIE_Intergenic19_NM_004556.3 972.46 745.26 227.2 23.363429
chr13 48954168 48954240 RB1_Exon15_NM_000321.2 926.80 711.25 215.55 23.257445
chr17 45216084 45216277 CDC27_Exon13_NM_001114091.4 5789.64 4452.46 1337.18 23.096082
chr16 81891847 81891981 PLCG2_Exon4_NM_002661.5 1454.44 1120.48 333.96 22.961415
chr15 40993983 40994144 RAD51_Exon4_NM_001164269.2 3.60 2.78 0.82 22.777778
chr22 39079901 39079955 TOMM22_Exon4_NM_020243.5 460.26 355.50 104.76 22.761048
chr3 52621348 52621546 PBRM1_Exon24_NM_001350077.2 1221.50 946.92 274.58 22.478919
chr22 36708073 36708287 MYH9_Exon14_NM_002473.5 1288.32 999.82 288.5 22.393505
chr1 198717217 198717348 PTPRC_Exon24_NM_080921.3 905.82 703.22 202.6 22.366475
chr4 144378812 144378942 GAB1_Exon7_NM_207123.3 1075.16 834.74 240.42 22.361323
chr5 139494827 139494881 PURA_Exon1_NM_005859.5 492.98 383.26 109.72 22.256481
chr7 6036840 6036867 PMS2_Intron8_NM_001322005.2 717.74 560.40 157.34 21.921587
chr2 225400224 225400378 CUL3_Exon3_NM_003590.5 1346.02 1050.96 295.06 21.920922
chr6 407503 407546 IRF4_Exon9_NM_001195286.2 1300.52 1018.40 282.12 21.692861
chr14 65472901 65473022 MAX_Exon4_NM_197957.3 1790.12 1403.58 386.54 21.592966
chr3 47147466 47147630 SETD2_Exon6_NM_014159.6 1405.72 1108.00 297.72 21.179182
chr7 6036936 6037074 PMS2_Exon7_NM_001322005.2 1519.36 1199.32 320.04 21.064132
chr12 56295217 56295272 PYM1_Exon3_NM_001143853.1 378.90 299.30 79.6 21.008182
chr1 237060926 237060980 MTR_Exon32_NM_001291939.1 418.94 331.38 87.56 20.900368
chr13 28942694 28942820 FLT1_Exon15_NM_001160030.2 1380.90 1092.58 288.32 20.879137
chr14 75506593 75506738 MLH3_Exon5_NM_001040108.1 1173.86 930.38 243.48 20.741826
chr6 31237094 31237182 HLA-C_Exon7_NM_002117.6 1765.18 1405.34 359.84 20.385456
chr12 21644432 21644670 RECQL_Exon3_NM_002907.4 1535.04 1222.78 312.26 20.342141
chr5 138132226 138132255 CTNNA1_Intron3_NM_001290307.2 40.80 32.56 8.24 20.196078
chr4 95508262 95508312 PDLIM5_Exon10_NM_001011516.2 428.76 342.80 85.96 20.048512
chr6 31236925 31236970 HLA-C_Exon8_NM_002117.6 1507.54 1206.78 300.76 19.950383
chr9 137688673 137688767 COL5A1_Exon36_NM_000093.5 1218.20 975.24 242.96 19.94418
chr14 20815001 20815092 PARP2_Exon4_NM_001042618.1 1597.60 1279.52 318.08 19.909865
chr21 44195518 44195570 PDE9A_Exon20_NM_002606.3 329.14 264.00 65.14 19.79097
chr3 142231081 142231332 ATR_Exon27_NM_001184.4 1376.34 1104.74 271.6 19.733496
chr17 41231820 41232330 BRCA1_Intron12_NM_007298.3 1688.04 1355.20 332.84 19.717542
chr7 116409678 116409940 MET_Exon12_NM_001324401.2 2611.42 2100.34 511.08 19.570961
chr11 118369064 118369263 KMT2A_Exon22_NM_001197104.1 1352.16 1088.72 263.44 19.482901
chr17 41210070 41210286 BRCA1_Intron18_NM_007298.3 1147.56 924.52 223.04 19.436021
chrX 47004825 47004935 RBM10_Exon1_NM_001204468.1 606.52 488.94 117.58 19.386005
chr17 45249262 45249450 CDC27_Exon3_NM_001114091.4 4154.00 3354.94 799.06 19.235917
chr12 21639392 21639539 RECQL_Exon5_NM_002907.4 1043.64 844.14 199.5 19.115787
chrX 31144738 31144810 DMD_Exon50_NM_004012.4 1010.96 820.38 190.58 18.851389
chr20 39742589 39742815 TOP1_Exon15_NM_003286.4 1647.24 1337.02 310.22 18.832714
chr14 95592896 95593105 DICER1_Exon6_NM_001195573.1 1878.00 1524.66 353.34 18.814696
chrX 44920548 44920684 KDM6A_Exon12_NM_001291421.1 740.40 601.76 138.64 18.725014
chr6 29912256 29912413 HLA-A_Exon5_NM_002116.8 1878.50 1527.00 351.5 18.711738
chr19 44047523 44047677 XRCC1_Exon17_NM_006297.2 1121.80 912.64 209.16 18.645035
chr16 66757468 66757523 DYNC1LI2_Exon13_NM_006141.3 510.62 415.48 95.14 18.632251
chr9 133710813 133710932 ABL1_Exon1_NM_005157.6 857.12 697.46 159.66 18.627497
chr17 41262454 41262702 BRCA1_Intron3_NM_007298.3 1203.04 979.88 223.16 18.549674
chr6 31237966 31238282 HLA-C_Exon4_NM_002117.6 1810.66 1476.64 334.02 18.447417
chr14 62211402 62211551 HIF1A_Exon13_NM_181054.3 1719.38 1402.46 316.92 18.432226
chr11 1015741 1018790 MUC6_Exon31_NM_005961.3 5815.30 4745.76 1069.54 18.391828
chr7 148494883 148494971 CUL1_Exon18_NM_001370660.1 1947.82 1589.66 358.16 18.387736
chr13 32939823 32940668 BRCA2_Intron18_NM_000059.3 1499.64 1224.72 274.92 18.3324
chr12 124818949 124819183 NCOR2_Exon43_NM_006312.6 493.82 403.40 90.42 18.310315
chr9 37033962 37034048 PAX5_Exon1_NM_016734.3 796.48 650.88 145.6 18.280434
chr17 41260366 41260476 BRCA1_Intron3_NM_007298.3 1313.12 1073.20 239.92 18.270988
chr8 102701437 102701491 NCALD_Exon4_NM_032041.3 425.56 347.88 77.68 18.253595
chr19 6583290 6583509 CD70_Exon4_NM_001330332.2 1239.22 1014.06 225.16 18.169494
chr11 119144557 119144754 CBL_Exon4_NM_005188.4 1193.90 978.70 215.2 18.02496
chr18 32888055 32888109 ZNF271P_Exon2_NR_024566.1 318.14 260.96 57.18 17.973219
chr19 15350449 15350652 BRD4_Exon16_NM_058243.2 936.00 768.32 167.68 17.91453
chr2 48032736 48032866 MSH6_Exon5_NM_001281492.1 1199.62 984.96 214.66 17.894
chr3 10089580 10089755 FANCD2_Exon16_NM_001018115.2 2432.20 1999.00 433.2 17.811035
chr22 21343893 21343991 LZTR1_Exon7_NM_006767.4 1397.24 1149.30 247.94 17.744983
chr6 29912990 29913078 HLA-A_Exon7_NM_002116.8 2206.28 1819.62 386.66 17.525427
chr11 102056728 102056882 YAP1_Exon4_NM_001195044.2 1395.06 1151.80 243.26 17.437243
chr22 24135725 24135895 SMARCB1_Exon3_NM_001007468.3 1227.52 1014.72 212.8 17.335766
chr1 39900065 39900324 MACF1_Exon63_NM_012090.5 1345.40 1112.26 233.14 17.328675
chr11 85968536 85968658 EED_Exon6_NM_001330334.1 1364.36 1128.90 235.46 17.257908
chr1 10356934 10357155 KIF1B_Exon19_NM_183416.4 1636.56 1354.30 282.26 17.247153
chr17 27829586 27829761 TAOK1_Exon13_NM_025142.1 1390.60 1151.60 239.0 17.186826
chr3 42251558 42251629 TRAK1_Exon14_NM_001265608.2 269.12 222.88 46.24 17.181926
chr10 114925293 114925751 TCF7L2_Exon13_NM_001146284.2 917.06 759.96 157.1 17.130831
chr7 148504717 148504818 EZH2_Exon19_NM_001203249.2 1732.12 1435.90 296.22 17.101586
chr1 110906407 110906455 SLC16A4_Exon8_NM_001201547.1 335.30 278.06 57.24 17.071279
chr9 139410412 139410566 NOTCH1_Exon10_NM_017617.5 1018.32 846.56 171.76 16.866997
chr16 50402616 50402705 BRD7_Exon1_NM_001173984.3 376.04 313.14 62.9 16.726944
chr16 3929812 3929937 CREBBP_Exon1_NM_001079846.1 708.84 590.44 118.4 16.703346
chr10 8115681 8116006 GATA3_Exon6_NM_002051.3 1289.22 1074.48 214.74 16.656583
chr3 47205323 47205434 SETD2_Exon1_NM_014159.6 996.96 830.98 165.98 16.648612
chr3 10131955 10132089 FANCD2_Exon37_NM_001018115.2 1163.94 970.40 193.54 16.628005
chr3 37067107 37067518 MLH1_Exon11_NM_001258273.1 1098.16 916.56 181.6 16.536752
chr14 70792996 70793049 COX16_Exon4_NM_016468.7 439.36 367.22 72.14 16.419337
chr5 180076467 180076565 FLT4_Exon1_NM_182925.5 388.18 324.48 63.7 16.409913
chr5 36958185 36958353 NIPBL_Exon4_NM_015384.5 1723.50 1441.98 281.52 16.334204
chr12 124848204 124848365 NCOR2_Exon23_NM_006312.6 446.44 373.72 72.72 16.288863
chr1 158637627 158637872 SPTA1_Exon15_NM_003126.4 1348.90 1129.48 219.42 16.266588
chr19 44050726 44050899 XRCC1_Exon12_NM_006297.2 1106.58 926.68 179.9 16.257297
chr2 225434385 225434509 CUL3_Exon1_NM_001257198.2 743.42 623.04 120.38 16.192731
chr11 108107254 108107284 ATM_Intron5_NM_000051.3 431.76 361.90 69.86 16.180285
chr21 36206686 36206918 RUNX1_Exon4_NM_001001890.3 742.24 623.12 119.12 16.048717
chr13 32917183 32918882 BRCA2_Exon12_NM_000059.3 1651.02 1386.82 264.2 16.002229
chr5 138258613 138258639 CTNNA1_Intron11_NM_001290307.2 425.16 357.30 67.86 15.96105
chr19 13373527 13373667 CACNA1A_Exon25_NM_001127221.1 1075.42 903.88 171.54 15.950977
chr9 27217665 27217776 TEK_Exon17_NM_001290078.1 1223.84 1030.52 193.32 15.796183
chr17 7788104 7788421 CHD3_Exon1_NM_001005271.3 288.56 243.06 45.5 15.767951
chr17 7576516 7576604 TP53_Exon6_NM_001276698.2 1199.54 1010.56 188.98 15.754373
chr12 57496591 57496724 STAT6_Exon12_NM_001178079.2 1405.58 1184.14 221.44 15.754351
chr17 45258907 45259023 CDC27_Exon2_NM_001114091.4 3001.24 2529.32 471.92 15.724167
chr1 243736207 243736370 AKT3_Exon8_NM_181690.2 1158.60 976.52 182.08 15.715519
chr9 131356433 131356672 SPTAN1_Exon23_NM_001195532.2 1235.90 1042.40 193.5 15.656607
chr2 223065998 223066045 PAX3_Exon9_NM_181458.4 404.12 340.90 63.22 15.643868
chr12 121438847 121439015 HNF1A_Exon10_NM_001306179.2 1076.86 908.70 168.16 15.615772
chr6 31237249 31237322 HLA-C_Exon6_NM_002117.6 1772.84 1496.44 276.4 15.590803
chr13 48954280 48954397 RB1_Exon16_NM_000321.2 1216.12 1028.16 187.96 15.455712
chr6 50681641 50681690 TFAP2D_Exon1_NM_172238.3 402.48 340.30 62.18 15.449215
chr16 2115499 2115656 TSC2_Exon15_NM_001318829.1 1368.18 1156.94 211.24 15.439489
chr6 54130810 54130863 MLIP_Exon13_NM_138569.2 263.44 222.80 40.64 15.426663
chr11 108196016 108196291 ATM_Exon46_NM_000051.3 1487.50 1258.64 228.86 15.385546
chr17 7577478 7577628 TP53_Exon3_NM_001276698.2 1055.56 893.44 162.12 15.358672
chr17 7416319 7417516 POLR2A_Exon29_NM_000937.5 1432.02 1212.22 219.8 15.348948
chr13 73637941 73638041 KLF5_Exon3_NM_001286818.1 1608.16 1361.82 246.34 15.318128
chr19 57742596 57742694 AURKC_Exon1_NM_001015878.2 915.04 775.04 140.0 15.299878
chr2 99936090 99936138 TXNDC9_Exon5_NM_005783.4 308.48 261.40 47.08 15.261929
chr11 1021194 1021297 MUC6_Exon27_NM_005961.3 1064.64 902.54 162.1 15.225804
chr13 32941923 32942122 BRCA2_Intron18_NM_000059.3 1277.06 1082.70 194.36 15.219332
chr16 23624959 23624986 PALB2_Intron12_NM_024675.4 163.60 138.78 24.82 15.171149
chr5 1279385 1279605 TERT_Exon5_NM_001193376.2 636.98 541.72 95.26 14.954944
chr1 27022874 27024051 ARID1A_Exon1_NM_139135.4 1107.82 942.18 165.64 14.951887
chr4 55981427 55981598 KDR_Exon4_NM_002253.3 998.16 848.98 149.18 14.9455
chr17 7579291 7579610 TP53_Exon4_NM_001276696.2 1287.68 1095.36 192.32 14.935388
chr10 104263889 104264111 SUFU_Exon1_NM_016169.3 506.18 430.66 75.52 14.919594
chr19 17953104 17953439 JAK3_Exon6_NM_000215.3 800.32 681.06 119.26 14.901539
chr1 193205365 193205506 CDC73_Exon15_NM_024529.4 1464.56 1247.04 217.52 14.852242
chrX 123200185 123200306 STAG2_Exon23_NM_001042749.2 1235.52 1052.06 183.46 14.848809
chr14 96998625 96998672 PAPOLA_Exon7_NM_001252007.1 1062.70 904.94 157.76 14.845206
chr14 96998602 96998664 PAPOLA_Exon7_NM_001252007.1 1078.12 918.72 159.4 14.784996
chr8 90952849 90952872 NBN_Intron15_NM_002485.4 597.26 509.00 88.26 14.777484
chr7 148485628 148485786 CUL1_Exon14_NM_001370660.1 2026.68 1728.18 298.5 14.728522
chr11 71939750 71939911 INPPL1_Exon4_NM_001567.4 976.70 833.38 143.32 14.673902
chr19 10599847 10600064 KEAP1_Exon5_NM_012289.4 1113.30 950.06 163.24 14.662714
chr1 39927534 39927729 MACF1_Exon88_NM_012090.5 1215.06 1037.12 177.94 14.644544
chr7 106523457 106523628 PIK3CG_Exon8_NM_001282427.2 1808.70 1545.60 263.1 14.546359
chr15 33015822 33015849 GREM1_Intron1_NM_013372.7 279.22 238.62 40.6 14.540506
