Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr9 137592996 137593199 COL5A1_Exon4_NM_000093.5 1355.62 1.22 1354.4 99.910004
chrX 31279051 31279153 DMD_Exon20_NM_004021.3 865.80 0.78 865.02 99.90991
chr22 42523409 42523676 CYP2D6_Exon7_NM_000106.6 1945.72 1.76 1943.96 99.909545
chr9 80336218 80336449 GNAQ_Exon7_NM_002072.5 1403.40 1.28 1402.12 99.908793
chr22 29091094 29091250 CHEK2_Exon13_NM_001005735.2 1149.90 1.12 1148.78 99.9026
chr20 39796471 39796589 PLCG1_Exon20_NM_182811.2 1352.62 1.32 1351.3 99.902412
chr19 11118557 11118719 SMARCA4_Exon14_NM_001128847.3 1307.66 1.28 1306.38 99.902115
chr18 61328013 61328110 SERPINB3_Exon3_NM_006919.3 2149.98 2.12 2147.86 99.901394
chr22 39388415 39388470 APOBEC3B_Exon8_NM_001270411.2 1609.90 1.60 1608.3 99.900615
chrX 41007601 41007848 USP9X_Exon12_NM_001039591.3 1105.42 1.14 1104.28 99.896872
chrX 44970606 44970676 KDM6A_Exon27_NM_001291421.1 1062.64 1.12 1061.52 99.894602
chr14 51131876 51132357 SAV1_Exon2_NM_021818.4 2254.06 2.38 2251.68 99.894413
chr20 39800812 39800949 PLCG1_Exon25_NM_182811.2 1532.82 1.62 1531.2 99.894312
chr13 73346343 73346385 DIS3_Exon11_NM_001322349.2 1886.80 2.00 1884.8 99.894
chr12 124922455 124922562 NCOR2_Exon10_NM_006312.6 943.32 1.00 942.32 99.893991
chr9 137646098 137646192 COL5A1_Exon16_NM_000093.5 1356.32 1.44 1354.88 99.89383
chr7 151944966 151945725 KMT2C_Exon14_NM_170606.3 3473.00 3.70 3469.3 99.893464
chr13 73346316 73346358 DIS3_Exon11_NM_001322349.2 1862.96 2.00 1860.96 99.892644
chr17 40452712 40452908 STAT5A_Exon9_NM_003152.3 1358.70 1.46 1357.24 99.892544
chr7 2977593 2977635 CARD11_Exon9_NM_001324281.2 1556.04 1.70 1554.34 99.890748
chr11 32438015 32438106 WT1_Exon5_NM_001198551.1 1257.42 1.38 1256.04 99.890251
chr6 114262851 114262949 HDAC2_Exon13_NM_001527.4 910.06 1.00 909.06 99.890117
chr13 72053280 72053468 DACH1_Exon5_NM_080760.5 1441.60 1.60 1440.0 99.889012
chr5 251432 251603 SDHA_Exon12_NM_001294332.1 1347.52 1.50 1346.02 99.888684
chr7 151970769 151970972 KMT2C_Exon7_NM_170606.3 6099.98 6.80 6093.18 99.888524
chr7 74149782 74149894 GTF2I_Exon15_NM_001518.5 1880.54 2.10 1878.44 99.88833
chr12 14591043 14591221 ATF7IP_Exon5_NM_018179.4 1484.90 1.66 1483.24 99.888208
chr16 67654579 67654740 CTCF_Exon4_NM_001191022.2 1230.92 1.38 1229.54 99.887889
chr7 142641709 142641848 KEL_Exon12_NM_000420.3 1813.38 2.04 1811.34 99.887503
chr6 74228400 74228591 EEF1A1_Exon5_NM_001402.6 2045.86 2.32 2043.54 99.8866
chr1 243858872 243859038 AKT3_Exon2_NM_181690.2 986.68 1.16 985.52 99.882434
chr4 187516822 187517000 FAT1_Exon26_NM_005245.4 1186.40 1.40 1185.0 99.881996
chr21 42840302 42840485 TMPRSS2_Exon12_NM_005656.4 1228.84 1.48 1227.36 99.879561
chr11 111957611 111957703 SDHD_Exon1_NM_001276504.2 1623.70 1.96 1621.74 99.879288
chr20 9343522 9343642 PLCB4_Exon7_NM_001172646.1 1560.66 1.90 1558.76 99.878257
chr1 11206712 11206868 MTOR_Exon32_NM_004958.4 1051.24 1.28 1049.96 99.878239
chr6 117717330 117717447 ROS1_Exon8_NM_002944.2 1591.98 1.94 1590.04 99.878139
chr13 49027108 49027267 RB1_Exon18_NM_000321.2 1211.90 1.48 1210.42 99.877878
chr15 88799116 88799404 NTRK3_Exon3_NM_002530.4 582.94 0.72 582.22 99.876488
chr7 124493005 124493212 POT1_Exon10_NM_015450.3 1502.24 1.86 1500.38 99.876185
chr5 176522310 176522461 FGFR4_Exon12_NM_001354984.2 1289.10 1.60 1287.5 99.875882
chr20 54945193 54945416 AURKA_Exon10_NM_198434.2 1679.72 2.10 1677.62 99.874979
chr14 68878120 68878264 RAD51B_Exon9_NM_001321819.1 2158.76 2.70 2156.06 99.874928
chr17 30267310 30267352 SUZ12_Exon2_NM_001321207.2 1511.72 1.90 1509.82 99.874315
chr5 1253822 1253966 TERT_Exon15_NM_001193376.2 1220.36 1.54 1218.82 99.873808
chr16 30133124 30133347 MAPK3_Exon2_NM_002746.3 1123.62 1.42 1122.2 99.873623
chr18 61328265 61328470 SERPINB3_Exon2_NM_006919.3 2324.28 2.96 2321.32 99.872649
chrX 96396643 96396813 DIAPH2_Exon22_NM_007309.3 1129.40 1.44 1127.96 99.872499
chr3 10085147 10085296 FANCD2_Exon13_NM_001018115.2 1558.76 2.00 1556.76 99.871693
chr4 55602866 55603006 KIT_Exon19_NM_001093772.1 1464.50 1.88 1462.62 99.871629
chr5 223576 223703 SDHA_Exon2_NM_001294332.1 1474.82 1.90 1472.92 99.871171
chrX 32361230 32361423 DMD_Exon12_NM_004012.4 957.12 1.24 955.88 99.870445
chr11 76169206 76169422 EMSY_Exon5_NM_001300943.2 1558.82 2.02 1556.8 99.870415
chr10 131557445 131557625 MGMT_Exon4_NM_002412.5 1001.64 1.30 1000.34 99.870213
chr4 153250803 153250957 FBXW7_Exon10_NM_001349798.2 1060.50 1.38 1059.12 99.869873
chr22 39387316 39387651 APOBEC3B_Exon6_NM_001270411.2 947.46 1.24 946.22 99.869124
chr12 6701841 6702003 CHD4_Exon17_NM_001297553.2 1474.74 1.94 1472.8 99.868451
chr5 236522 236734 SDHA_Exon9_NM_001294332.1 1397.74 1.84 1395.9 99.868359
chr11 77931344 77931510 GAB2_Exon9_NM_012296.3 1382.84 1.84 1381.0 99.86694
chr5 149452843 149453076 CSF1R_Exon6_NM_001288705.2 1080.30 1.44 1078.86 99.866704
chr7 151882622 151882736 KMT2C_Exon34_NM_170606.3 2072.82 2.78 2070.04 99.865883
chr7 152027665 152027844 KMT2C_Exon3_NM_170606.3 2062.72 2.78 2059.94 99.865226
chr1 120611927 120612040 NOTCH2_Exon1_NM_024408.4 2484.74 3.36 2481.38 99.864775
chr19 52714492 52714765 PPP2R1A_Exon4_NM_014225.6 1025.64 1.40 1024.24 99.8635
chr1 11254497 11254736 ANGPTL7_Exon4_NM_021146.4 1402.28 1.92 1400.36 99.86308
chr6 117715758 117715921 ROS1_Exon9_NM_002944.2 1297.74 1.78 1295.96 99.862838
chr12 65445108 65445270 WIF1_Exon10_NM_007191.5 1338.70 1.84 1336.86 99.862553
chr12 1025784 1026006 RAD52_Exon8_NM_134424.4 1375.76 1.90 1373.86 99.861895
chr17 40375379 40375594 STAT5B_Exon5_NM_012448.4 1315.62 1.82 1313.8 99.861662
chr3 12627159 12627318 RAF1_Exon15_NM_001354689.3 1256.36 1.74 1254.62 99.861505
chr1 45407162 45407210 EIF2B3_Exon4_NM_020365.5 605.40 0.84 604.56 99.861249
chr17 29665701 29665843 NF1_Exon45_NM_000267.3 1482.24 2.06 1480.18 99.861021
chr6 152415499 152415723 ESR1_Exon9_NM_001122742.1 1163.80 1.62 1162.18 99.860801
chr16 50815136 50815342 CYLD_Exon11_NM_015247.2 1616.82 2.26 1614.56 99.860219
chr3 89498354 89498544 EPHA3_Exon14_NM_005233.6 1512.28 2.12 1510.16 99.859814
chr11 94153270 94153367 MRE11_Exon19_NM_005590.4 1038.22 1.46 1036.76 99.859375
chr20 9370505 9370625 PLCB4_Exon15_NM_001172646.1 1222.80 1.72 1221.08 99.859339
chr11 108123523 108123659 ATM_Exon12_NM_000051.3 1080.30 1.52 1078.78 99.859298
chr17 37883047 37883276 ERBB2_Exon28_NM_001005862.2 1601.86 2.26 1599.6 99.858914
chr17 40467742 40467838 STAT3_Exon24_NM_213662.2 1166.46 1.66 1164.8 99.857689
chr11 57581762 57581865 TMX2-CTNND1_Exon19_NR_037646.1 1391.14 1.98 1389.16 99.857671
chr22 42524136 42524392 CYP2D6_Exon5_NM_000106.6 1601.16 2.28 1598.88 99.857603
chr12 49436838 49436989 KMT2D_Exon25_NM_003482.3 1751.82 2.50 1749.32 99.857291
chrX 41000525 41000704 USP9X_Exon9_NM_001039591.3 1162.94 1.66 1161.28 99.857258
chrX 66931223 66931551 AR_Exon4_NM_000044.6 1020.14 1.46 1018.68 99.856882
chr12 133249729 133249883 POLE_Exon14_NM_006231.4 1057.74 1.52 1056.22 99.856297
chr21 42842554 42842690 TMPRSS2_Exon11_NM_005656.4 1188.74 1.72 1187.02 99.855309
chr18 18533659 18533706 ROCK1_Exon32_NM_005406.3 400.20 0.58 399.62 99.855072
chr1 11269348 11269535 MTOR_Exon25_NM_004958.4 1184.96 1.72 1183.24 99.854847
chr5 150911127 150911551 FAT2_Exon13_NM_001447.2 1306.74 1.90 1304.84 99.8546
chr17 40456339 40456467 STAT5A_Exon11_NM_003152.3 1272.36 1.86 1270.5 99.853815
chr12 31944672 31945120 H3-5_Exon1_NM_001013699.3 1502.78 2.20 1500.58 99.853605
chr17 29664816 29664918 NF1_Exon43_NM_000267.3 1842.10 2.70 1839.4 99.853428
chr2 25469008 25469198 DNMT3A_Exon11_NR_135490.2 1258.68 1.86 1256.82 99.852226
chr11 55065012 55065060 TRIM51HP_Exon2_NR_038174.2 676.12 1.00 675.12 99.852097
chr3 10106392 10106579 FANCD2_Exon23_NM_001018115.2 1713.48 2.54 1710.94 99.851764
chr1 193099283 193099393 CDC73_Exon3_NM_024529.4 1452.90 2.16 1450.74 99.851332
chr14 45605214 45605762 FANCM_Exon1_NM_001308133.2 1977.18 2.94 1974.24 99.851303
chr17 56440866 56440981 RNF43_Exon4_NM_001305544.2 1757.88 2.62 1755.26 99.850957
chr22 21351154 21351275 LZTR1_Exon20_NM_006767.4 1405.26 2.10 1403.16 99.850561
chr12 21623882 21624052 RECQL_Exon14_NM_002907.4 1338.32 2.00 1336.32 99.850559
chr5 56181738 56181910 MAP3K1_Exon17_NM_005921.2 1537.44 2.30 1535.14 99.850401
chr6 161533679 161533826 MAP3K4_Exon24_NM_001363582.1 1288.60 1.94 1286.66 99.849449
chrX 44942684 44942873 KDM6A_Exon21_NM_001291421.1 796.84 1.20 795.64 99.849405
chr19 52724211 52724406 PPP2R1A_Exon12_NM_014225.6 1178.82 1.78 1177.04 99.849002
chr9 98212102 98212242 PTCH1_Exon21_NM_001083607.2 1522.82 2.30 1520.52 99.848964
chr9 8524904 8525055 PTPRD_Exon7_NM_130392.3 1290.42 1.96 1288.46 99.848111
chr1 162725433 162725579 DDR2_Exon7_NM_001354983.2 1406.68 2.16 1404.52 99.846447
chr18 736787 736981 YES1_Exon10_NM_005433.4 1582.14 2.44 1579.7 99.845779
chr22 29091677 29091881 CHEK2_Exon12_NM_001005735.2 1408.22 2.18 1406.04 99.845195
chr9 139394983 139395319 NOTCH1_Exon31_NM_017617.5 1249.12 1.94 1247.18 99.844691
chr7 148513755 148513890 EZH2_Exon12_NM_001203249.2 1851.18 2.88 1848.3 99.844424
chr4 187549621 187549937 FAT1_Exon8_NM_005245.4 1617.30 2.52 1614.78 99.844185
chr5 37006438 37006710 NIPBL_Exon17_NM_015384.5 1446.44 2.26 1444.18 99.843754
chr3 142176425 142176617 ATR_Exon45_NM_001184.4 1510.00 2.36 1507.64 99.843709
chrX 40988232 40988418 USP9X_Exon3_NM_001039591.3 1137.46 1.78 1135.68 99.843511
chr19 4095365 4095467 MAP2K2_Exon9_NM_030662.3 1264.66 1.98 1262.68 99.843436
chr7 74146799 74147023 GTF2I_Exon13_NM_001518.5 2068.70 3.24 2065.46 99.84338
chr13 29008174 29008377 FLT1_Exon5_NM_002019.4 1594.26 2.50 1591.76 99.843187
chr5 251086 251238 SDHA_Exon11_NM_001294332.1 1140.50 1.80 1138.7 99.842174
chr11 69588056 69588273 FGF4_Exon3_NM_002007.4 1012.26 1.60 1010.66 99.841938
chr7 81387987 81388140 HGF_Exon3_NM_000601.6 2035.00 3.22 2031.78 99.841769
chr16 2103322 2103473 TSC2_Exon3_NM_001318829.1 1321.52 2.10 1319.42 99.841092
chr15 89824975 89825086 FANCI_Exon16_NM_001113378.1 1595.80 2.54 1593.26 99.840832
chr14 103355876 103355991 TRAF3_Exon7_NM_003300.4 1930.36 3.12 1927.24 99.838372
chr3 37045871 37045985 MLH1_Exon3_NM_001258273.1 1320.72 2.14 1318.58 99.837967
chr1 206646550 206646677 IKBKE_Exon3_NM_001193322.2 1181.70 1.92 1179.78 99.837522
chr13 49054113 49054227 RB1_Exon27_NM_000321.2 1510.82 2.46 1508.36 99.837175
chr7 74152366 74152465 GTF2I_Exon17_NM_001518.5 2502.30 4.08 2498.22 99.83695
chr5 37022132 37022271 NIPBL_Exon28_NM_015384.5 1881.26 3.08 1878.18 99.83628
chrX 32482682 32482836 DMD_Exon24_NM_000109.4 903.96 1.48 902.48 99.836276
chr22 50717263 50717460 PLXNB2_Exon28_NM_012401.4 1514.44 2.48 1511.96 99.836243
chr5 56179333 56179526 MAP3K1_Exon15_NM_005921.2 1974.90 3.24 1971.66 99.835941
chr16 2134931 2135047 TSC2_Exon32_NM_001318829.1 1748.08 2.88 1745.2 99.835248
chr1 120529562 120529725 NOTCH2_Exon5_NM_024408.4 1526.38 2.52 1523.86 99.834903
chr5 86682622 86682740 RASA1_Exon23_NM_002890.3 1230.70 2.04 1228.66 99.834241
chr12 21643112 21643332 RECQL_Exon4_NM_002907.4 1639.62 2.72 1636.9 99.834108
chr12 133225494 133225678 POLE_Exon32_NM_006231.4 1174.44 1.96 1172.48 99.833112
chr22 39388018 39388174 APOBEC3B_Exon7_NM_001270411.2 1149.52 1.92 1147.6 99.832974
chr17 61910926 61911102 SMARCD2_Exon10_NM_001330440.1 2033.50 3.40 2030.1 99.832801
chr1 98039276 98039566 DPYD_Exon11_NM_000110.4 1662.24 2.78 1659.46 99.832756
chr5 145886703 145886750 TCERG1_Exon18_NM_001040006.2 596.10 1.00 595.1 99.832243
chr5 35873561 35873770 IL7R_Exon5_NM_002185.5 1393.86 2.34 1391.52 99.832121
chr17 27869558 27870060 TAOK1_Exon18_NM_025142.1 1378.94 2.32 1376.62 99.831755
chr4 55958763 55958901 KDR_Exon22_NM_002253.3 1364.20 2.32 1361.88 99.829937
chr6 117632162 117632300 ROS1_Exon39_NM_002944.2 1363.58 2.32 1361.26 99.82986
chr9 131394385 131394622 SPTAN1_Exon51_NM_001195532.2 1504.34 2.56 1501.78 99.829826
chr7 6045502 6045682 PMS2_Exon2_NM_001322005.2 2008.14 3.42 2004.72 99.829693
chr15 99486131 99486301 IGF1R_Exon19_NM_001291858.2 1100.60 1.88 1098.72 99.829184
chr3 119812173 119812301 GSK3B_Exon1_NM_002093.4 1559.08 2.68 1556.4 99.828104
chr11 69625052 69625488 FGF3_Exon3_NM_005247.4 1148.44 1.98 1146.46 99.827592
chr16 2226245 2226405 TRAF7_Exon20_NM_032271.3 1716.74 2.96 1713.78 99.82758
chr11 108186529 108186658 ATM_Exon41_NM_000051.3 1691.96 2.92 1689.04 99.827419
chr8 74507451 74507498 STAU2_Exon11_NM_001164380.2 474.12 0.82 473.3 99.827048
chr3 119624581 119624719 GSK3B_Exon7_NM_002093.4 1248.62 2.16 1246.46 99.827009
chrX 53243850 53244049 KDM5C_Exon8_NM_001353981.2 1278.08 2.22 1275.86 99.826302
chr6 112029104 112029243 FYN_Exon4_NM_153048.3 1450.52 2.52 1448.0 99.826269
chr1 27056121 27056374 ARID1A_Exon2_NM_139135.4 1369.34 2.38 1366.96 99.826194
chr6 114277156 114277335 HDAC2_Exon5_NM_001527.4 1781.56 3.10 1778.46 99.825995
chr9 131394830 131395017 SPTAN1_Exon53_NM_001195532.2 1768.60 3.08 1765.52 99.825851
chr14 45606251 45606464 FANCM_Exon2_NM_001308133.2 1914.30 3.34 1910.96 99.825524
chr7 81392002 81392208 HGF_Exon2_NM_000601.6 1965.50 3.44 1962.06 99.824981
chr5 161113215 161113374 GABRA6_Exon2_NM_000811.3 1420.12 2.50 1417.62 99.823959
chr8 30941194 30941315 WRN_Exon10_NM_000553.6 1044.90 1.84 1043.06 99.823907
chr1 163306520 163306658 NUF2_Exon6_NM_031423.4 1257.08 2.22 1254.86 99.8234
chr1 39776482 39776692 MACF1_Exon25_NM_012090.5 1566.74 2.78 1563.96 99.822561
chr5 55272022 55272126 IL6ST_Exon3_NM_002184.4 1292.24 2.30 1289.94 99.822014
chr9 21968703 21968790 CDKN2A_Exon3_NM_001195132.1 1269.14 2.26 1266.88 99.821927
chr20 9440261 9440477 PLCB4_Exon34_NM_001172646.1 1322.06 2.36 1319.7 99.821491
chrX 129173091 129173277 BCORL1_Exon9_NM_021946.4 1049.86 1.88 1047.98 99.820929
chr3 168818652 168818770 MECOM_Exon12_NM_001105077.3 1578.16 2.84 1575.32 99.820044
chr12 49446677 49446875 KMT2D_Exon8_NM_003482.3 1607.30 2.90 1604.4 99.819573
chr1 11184534 11184710 MTOR_Exon47_NM_004958.4 1252.20 2.26 1249.94 99.819518
chr2 46608714 46608881 EPAS1_Exon13_NM_001430.5 1119.04 2.02 1117.02 99.819488
chr7 151892971 151893116 KMT2C_Exon28_NM_170606.3 1715.74 3.10 1712.64 99.81932
chr6 35434000 35434142 FANCE_Exon10_NM_021922.3 1558.82 2.82 1556.0 99.819094
chr11 92430529 92430631 FAT3_Exon4_NM_001367949.1 1481.14 2.68 1478.46 99.819058
chr17 7978892 7979054 ALOX12B_Exon12_NM_001139.3 1204.26 2.18 1202.08 99.818976
chr3 41265539 41265592 CTNNB1_Exon2_NM_001098210.2 1655.64 3.00 1652.64 99.818801
chr3 52637516 52637768 PBRM1_Exon22_NM_001350077.2 1511.26 2.74 1508.52 99.818694
chr10 89725023 89725249 PTEN_Exon9_NM_001304718.2 1720.50 3.12 1717.38 99.818657
chr12 111884725 111884857 SH2B3_Exon4_NM_005475.3 1750.22 3.18 1747.04 99.818309
chr20 32265986 32266179 E2F1_Exon4_NM_005225.3 1485.00 2.70 1482.3 99.818182
chr13 48916714 48916870 RB1_Exon3_NM_000321.2 1241.22 2.26 1238.96 99.817921
chr14 23448121 23448265 AJUBA_Exon2_NM_001289097.2 1669.02 3.04 1665.98 99.817857
chrX 41026714 41026850 USP9X_Exon17_NM_001039591.3 844.76 1.54 843.22 99.8177
chr17 78865499 78865657 RPTOR_Exon14_NM_001163034.2 1313.36 2.40 1310.96 99.817263
chr2 198269978 198270216 SF3B1_Exon10_NM_012433.3 1519.90 2.78 1517.12 99.817093
